Query ORF,Query Name,Array ORF,Array Name,Array annotation,Normalized colony size (EXPERIMENT),Normalized colony std. dev. (EXPERIMENT),Normalized colony size (CONTROL),Normalized colony std. dev. (CONTROL),Score,Score stdev,p-Value
NAHCO3,NAHCO3,YGR070W,ROM1,,1.10294,0.019,0.9924,0.018,0.1139,0.019,0
NAHCO3,NAHCO3,YGR069W,YGR069W,,0.70914,0.059,1.0036,0.009,-0.29708,0.059,0.00016
NAHCO3,NAHCO3,YGR066C,YGR066C,,1.05624,0.027,1.05554,0.02,-0.00379,0.027,0
NAHCO3,NAHCO3,YGR059W,SPR3,,1.1086,0.025,1.05754,0.033,0.05278,0.025,0
NAHCO3,NAHCO3,YGR058W,PEF1,,0.65385,0.008,0.9789,0.005,-0.32749,0.008,0.00006
NAHCO3,NAHCO3,YGR054W,YGR054W,,0.33904,0.053,0.63463,0.032,-0.29665,0.053,0.00105
NAHCO3,NAHCO3,YGR053C,YGR053C,,1.00648,0.041,0.99476,0.033,0.01091,0.041,0.00002
NAHCO3,NAHCO3,YGR052W,FMP48,,1.16251,0.07,1.08221,0.029,0.08081,0.07,0.00006
NAHCO3,NAHCO3,YGR092W,DBF2,,0.61241,0.043,0.76661,0.038,-0.1608,0.043,0.00009
NAHCO3,NAHCO3,YGR089W,NNF2,,1.17647,0.088,1.15118,0.061,0.02708,0.088,0.00011
NAHCO3,NAHCO3,YGR088W,CTT1,,1.16334,0.083,1.02618,0.044,0.14325,0.083,0.0001
NAHCO3,NAHCO3,YGR087C,PDC6,,1.12591,0.019,1.00823,0.017,0.11945,0.019,0
NAHCO3,NAHCO3,YGR086C,PIL1,,1.23421,0.031,1.03672,0.012,0.19692,0.031,0
NAHCO3,NAHCO3,YGR085C,RPL11B,,1.06062,0.017,0.92021,0.037,0.13582,0.017,0
NAHCO3,NAHCO3,YGR084C,MRP13,,1.07138,0.04,1.01023,0.018,0.05889,0.04,0.00001
NAHCO3,NAHCO3,YGR081C,SLX9,,1.067,0.013,0.95389,0.043,0.10929,0.013,0
NAHCO3,NAHCO3,YGR080W,TWF1,,1.17957,0.05,1.08887,0.043,0.09052,0.05,0.00002
NAHCO3,NAHCO3,YGR079W,YGR079W,,1.05527,0.046,0.96801,0.052,0.08914,0.046,0.00002
NAHCO3,NAHCO3,YGR078C,PAC10,,0.86857,0.062,0.92659,0.027,-0.06133,0.062,0.0001
NAHCO3,NAHCO3,YGR110W,CLD1,,1.39825,0.097,1.04918,0.006,0.34771,0.097,0.00009
NAHCO3,NAHCO3,YGR109C,CLB6,,0.80813,0.066,0.9012,0.019,-0.09545,0.066,0.00015
NAHCO3,NAHCO3,YGR108W,CLB1,,0.82181,0.035,1.00052,0.055,-0.1768,0.035,0.00002
NAHCO3,NAHCO3,YGR107W,YGR107W,,1.16777,0.022,0.98781,0.002,0.17872,0.022,0
NAHCO3,NAHCO3,YGR106C,VOA1,,0.99983,0.074,0.98643,0.007,0.01071,0.074,0.00011
NAHCO3,NAHCO3,YGR105W,VMA21,,0.45156,0.003,0.80586,0.012,-0.35239,0.003,0.00001
NAHCO3,NAHCO3,YGR100W,MDR1,,1.2429,0.011,1.03634,0.041,0.19753,0.011,0
NAHCO3,NAHCO3,YGR097W,ASK10,,1.20727,0.037,1.06438,0.026,0.13655,0.037,0.00001
NAHCO3,NAHCO3,YGR096W,TPC1,,1.17357,0.035,1.07878,0.037,0.10422,0.035,0.00001
NAHCO3,NAHCO3,YGR093W,YGR093W,,1.22197,0.095,1.03824,0.041,0.18661,0.095,0.00013
NAHCO3,NAHCO3,YGR130C,YGR130C,,0.85274,0.044,0.93037,0.038,-0.08607,0.044,0.00004
NAHCO3,NAHCO3,YGR129W,SYF2,,1.16682,0.055,1.12392,0.036,0.04213,0.055,0.00003
NAHCO3,NAHCO3,YGR127W,YGR127W,,1.01292,0.013,1.0027,0.01,0.00502,0.013,0.00005
NAHCO3,NAHCO3,YGR126W,YGR126W,,0.87008,0.045,1.03591,0.02,-0.16626,0.045,0.00004
NAHCO3,NAHCO3,YGR124W,ASN2,,1.02183,0.003,1.1032,0.039,-0.07534,0.003,0
NAHCO3,NAHCO3,YGR123C,PPT1,,0.88267,0.023,0.98499,0.053,-0.08859,0.023,0.00001
NAHCO3,NAHCO3,YGR121C,MEP1,,0.92512,0.043,0.9547,0.025,-0.02407,0.043,0.00003
NAHCO3,NAHCO3,YGR118W,RPS23A,,1.27545,0.046,0.84271,0.04,0.42809,0.046,0.00001
NAHCO3,NAHCO3,YGR117C,YGR117C,,0.94273,0.011,1.03197,0.012,-0.08952,0.011,0.00004
NAHCO3,NAHCO3,YGR111W,YGR111W,,1.06055,0.04,0.87709,0.039,0.18872,0.04,0.00001
NAHCO3,NAHCO3,YGR142W,BTN2,,0.74792,0.109,1.04579,0.034,-0.30483,0.109,0.00083
NAHCO3,NAHCO3,YGR141W,VPS62,,1.16264,0.009,1.00431,0.006,0.15515,0.009,0.00002
NAHCO3,NAHCO3,YGR139W,YGR139W,,0.91177,0.015,1.05587,0.027,-0.14874,0.015,0.0001
NAHCO3,NAHCO3,YGR138C,TPO2,,0.83002,0.004,1.02848,0.004,-0.19798,0.004,0.00001
NAHCO3,NAHCO3,YGR137W,YGR137W,,0.81186,0.007,0.96541,0.026,-0.15272,0.007,0.00002
